genome	relative_abundance	sample
DeFilippisF_xxxx__DF_86__bin_1_PROK	0	C2
MASTER_WP4_UNINA_2__O-29__bin_8_PROK	0	C2
AlvarezOrdonezA_xxxx__Q02-25__bin_18_PROK	0	C2
MASTER_WP4_UNINA_2__N-22__bin_20_EUK	0	C2
DuR_2020__DRS139335__bin_18_PROK	0	C2
MortensenS_xxxx__WK003-2-G-48h-01C6_S3__bin_5_PROK	0	C2
MASTER_WP4_UNINA_1__TO013_71775__bin_16_PROK	0.2003597	C2
Escobar-ZepedaA_2016__SRR2081070__bin_26_fa_PROK_MiFo_tagged	0	C2
MASTER_WP4_FFoQSI_1__VB-15-BD__bin_54_PROK	0	C2
LeechJ_2020__ERS3967702__bin_1_PROK	0	C2
MASTER_WP4_FFoQSI_2__VB03-28__bin_9_PROK	0	C2
MASTER_WP4_FFoQSI_1__RC17-032__bin_10_PROK	0	C2
PasolliE_2020__SRS6525480__bin_5_PROK	0	C2
MortensenS_xxxx__WK041-1-L-08h-03F5_S69__bin_11_PROK	0	C2
MortensenS_xxxx__WK002-1-L-08h-01F5_S29__bin_4_PROK	0	C2
LiZ_2018__SRS2920551__bin_2_EUK	0	C2
MortensenS_xxxx__WK001T-2-L-16h-05F2_S99__bin_7_PROK	0	C2
WalshAM_2020__ERS3466773__bin_7_PROK	0	C2
MortensenS_xxxx__WK050-2-G-48h-04D2_S129__bin_4_PROK	0	C2
MASTER_WP4_CSIC_2__P2619__bin_42_PROK	0	C2
MortensenS_xxxx__WK001T-1-L-08h-05E6_S94__bin_6_EUK	0	C2
MASTER_WP4_FFoQSI_1__RC17-F-AR__bin_23_PROK	0	C2
WalshL_xxxx__C3__bin_1_PROK	0	C2
MASTER_WP4_FFoQSI_1__VB-08-M4__bin_22_PROK	0	C2
MASTER_WP4_CSIC_2__P2557__bin_1_PROK	0	C2
MASTER_WP4_TEAGASC_1__TGS04-22__bin_3_PROK	0	C2
MASTER_WP4_CSIC_1__P2234_73323__bin_2_PROK	0	C2
MASTER_WP4_CSIC_2__P2623__bin_28_PROK	0	C2
MASTER_WP4_CSIC_2__P2591__bin_6_PROK	0	C2
MortensenS_xxxx__WK050-2-L-08h-04C9_S127__bin_9_PROK	0	C2
MASTER_WP4_UNINA_2__M-29__bin_19_PROK	0	C2
MASTER_WP4_CSIC_1__P2245_73323__bin_24_PROK	0	C2
MASTER_WP4_FFoQSI_3__VB09-30__bin_34_PROK	0	C2
BertuzziAS_2018__ERS2032109__bin_7_PROK	0	C2
SternesPR_2017__Y3D1_B_shotgun__bin_1_EUK	0	C2
MortensenS_xxxx__WK030-2-L-48h-03A9_S28__bin_6_PROK	0	C2
KastmanEK_2016__CSB962__bin_2_PROK	0	C2
MASTER_WP4_UNINA_2__V-30__bin_5_PROK	0	C2
MASTER_WP4_CSIC_2__P2585__bin_4_PROK	0	C2
MortensenS_xxxx__WK062-1-L-48h-04I4_S47__bin_7_PROK	0	C2
MASTER_WP4_CSIC_2__P2561__bin_6_PROK	0	C2
MASTER_WP4_FFoQSI_1__VB-05-BD__bin_16_PROK	0	C2
DeFilippisF_xxxx__DF_5__bin_14_PROK	0	C2
MASTER_WP4_CSIC_2__P2577__bin_13_PROK	0	C2
MASTER_WP4_CSIC_1__P2157_73322__bin_8_PROK	0	C2
MortensenS_xxxx__WK029-1-L-48h-03A3_S22__bin_6_PROK	0	C2
MortensenS_xxxx__WK028-2-G-48h-04A4_S104__bin_1_PROK	0	C2
LeechJ_2020__ERS3967690__bin_2_PROK	0	C2
MortensenS_xxxx__WK045-1-L-08h-03H3_S85__bin_3_PROK	0	C2
MASTER_WP4_FFoQSI_2__VB15-29__bin_13_PROK	0	C2
MASTER_WP4_UNINA_1__SC109_71775__bin_22_PROK	0	C2
AlvarezOrdonezA_xxxx__Q02-27__bin_13_PROK	0	C2
WalshL_xxxx__M1__bin_2_PROK	0	C2
MASTER_WP4_UNINA_1__PV005_71775__bin_10_PROK	0	C2
MASTER_WP4_CSIC_2__P2590__bin_11_PROK	0	C2
AlvarezOrdonezA_xxxx__Q02-23__bin_15_PROK	0	C2
MASTER_WP4_CSIC_2__P2576__bin_10_PROK	0	C2
MASTER_WP4_TEAGASC_1__TGS09-26__bin_4_PROK	0	C2
LeechJ_xxxx__AF58__bin_3_PROK	0	C2
MASTER_WP4_FFoQSI_3__VB02-30__bin_19_PROK	0	C2
AlvarezOrdonezA_xxxx__F06-31A__bin_2_PROK	0	C2
MortensenS_xxxx__WK059-1-L-08h-04G9_S34__bin_5_PROK	0	C2
DeFilippisF_xxxx__DF_100__bin_12_PROK	0	C2
DeFilippisF_xxxx__DF_6__bin_5_PROK	0	C2
MASTER_WP4_UNINA_1__SC109_71775__bin_32_PROK	0	C2
MASTER_WP4_UNINA_1__TO013_71775__bin_15_PROK	0	C2
MASTER_WP4_FFoQSI_1__VB-06-M2__bin_1_PROK	0	C2
KastmanEK_2016__CSB734__bin_5_EUK	0	C2
MASTER_WP4_UNINA_2__J-17__bin_43_PROK	0	C2
MASTER_WP4_FFoQSI_1__VB-03-M6__bin_32_PROK	0	C2
MASTER_WP4_TEAGASC_1__TGS08-22__bin_6_PROK	0	C2
DeFilippisF_xxxx__DF_58__bin_6_PROK	0	C2
MortensenS_xxxx__WK006-1-L-48h-01H4_S46__bin_9_PROK	0	C2
PfeferT_xxxx__SRS2870576__bin_3_PROK	0	C2
MASTER_WP4_UNINA_1__PA002_73417__bin_8_PROK	0	C2
WalshL_xxxx__D7__bin_6_PROK	0	C2
MASTER_WP4_CSIC_1__P2149_73322__bin_12_PROK	0	C2
MASTER_WP4_CSIC_2__P2614__bin_24_EUK	0	C2
MortensenS_xxxx__WK060-1-L-48h-04H5_S39__bin_7_EUK	0	C2
MortensenS_xxxx__WK043-2-L-48h-03G7_S80__bin_4_PROK	0	C2
MASTER_WP4_CSIC_1__P2218_73323__bin_2_PROK	0	C2
MASTER_WP4_FFoQSI_1__VB-06-M1__bin_27_PROK	0	C2
MASTER_WP4_CSIC_1__P2237_73323__bin_9_PROK	0	C2
MortensenS_xxxx__WK026-2-G-48h-04A2_S102__bin_1_PROK	0	C2
MASTER_WP4_FFoQSI_3__VB02-21__bin_1_PROK	0	C2
MASTER_WP4_UNINA_2__V-23_1__bin_6_PROK	0	C2
MASTER_WP4_FFoQSI_3__VB15-29__bin_14_PROK	0	C2
DeFilippisF_xxxx__DS_110__bin_7_PROK	0	C2
DeFilippisF_xxxx__DS_120__bin_4_PROK	0	C2
MASTER_WP4_FFoQSI_1__DC18-F-AR__bin_17_PROK	0	C2
WalshAM_2020__ERS3466754__bin_2_PROK	0	C2
LeechJ_2020__ERS3967696__bin_2_PROK	0.28070745	C2
MASTER_WP4_FFoQSI_1__VB-12D__bin_4_PROK	0	C2
DeFilippisF_xxxx__DS_106__bin_8_PROK	0	C2
WalshAM_2020__ERS3466751__bin_10_PROK	0	C2
MASTER_WP4_CSIC_2__P2554__bin_14_PROK	0	C2
MASTER_WP4_TEAGASC_1__TGS04-21__bin_9_PROK	0	C2
MASTER_WP4_FFoQSI_1__VB-09-M8__bin_25_PROK	0	C2
MortensenS_xxxx__WK001T-1-L-00h-05D3_S82__bin_6_PROK	0	C2
MASTER_WP4_UNINA_1__FO005_71775__bin_17_PROK	0	C2
MASTER_WP4_FFoQSI_2__VB06-25__bin_5_PROK	0	C2
MASTER_WP4_FFoQSI_3__VB02-30__bin_22_PROK	0	C2
DeFilippisF_xxxx__DF_79__bin_16_PROK	0	C2
WalshL_xxxx__L6__bin_4_PROK	0	C2
MASTER_WP4_UNINA_2__G-18__bin_3_PROK	0	C2
MASTER_WP4_FFoQSI_2__VB16-22__bin_7_PROK	0	C2
LeechJ_xxxx__AF09__bin_7_PROK	0	C2
MASTER_WP4_CSIC_2__P2569__bin_5_PROK	0	C2
MASTER_WP4_UNINA_2__M-28__bin_13_PROK	0	C2
MASTER_WP4_FFoQSI_3__VB01-22__bin_1_PROK	0	C2
MASTER_WP4_CSIC_1__P2134_73322__bin_24_PROK	0	C2
PfeferT_xxxx__SRS2870567__bin_3_PROK	0	C2
MASTER_WP4_FFoQSI_1__VB-03-M6__bin_47_PROK	0	C2
MASTER_WP4_FFoQSI_3__VB07-24__bin_4_PROK	0	C2
MASTER_WP4_FFoQSI_3__VB09-23__bin_11_PROK	0	C2
DeFilippisF_xxxx__DF_44__bin_4_PROK	0	C2
LeechJ_xxxx__AF15__bin_8_PROK	0	C2
MASTER_WP4_UNINA_2__H-24__bin_2_PROK	0	C2
MASTER_WP4_FFoQSI_3__VB02-29__bin_34_PROK	0	C2
BertuzziAS_2018__ERS2032105__bin_2_PROK	0	C2
DeFilippisF_xxxx__DF_52__bin_5_PROK	0	C2
QuigleyL_2016__ERS654084__bin_2_PROK	0	C2
PatroJN_2016__SRS1044738__bin_8_PROK	0	C2
DeFilippisF_xxxx__DF_30__bin_2_PROK	0	C2
MASTER_WP4_UNINA_1__SF009_71775__bin_8_PROK	0	C2
AlvarezOrdonezA_xxxx__Q08-28__bin_4_PROK	0	C2
MASTER_WP4_UNINA_1__SC012_71775__bin_16_PROK	0	C2
DeFilippisF_xxxx__DF_39__bin_8_PROK	0	C2
AlvarezOrdonezA_xxxx__Q04-25__bin_12_PROK	0	C2
MASTER_WP4_FFoQSI_2__VB11-22__bin_10_PROK	0	C2
MortensenS_xxxx__WK058-2-L-08h-04G7_S32__bin_8_EUK	0	C2
MortensenS_xxxx__WK025-1-L-48h-02H5_S6__bin_2_PROK	0	C2
MortensenS_xxxx__WK009-1-L-48h-01I7_S58__bin_9_PROK	0	C2
MortensenS_xxxx__WK048-1-L-48h-03I7_S98__bin_5_PROK	0	C2
MASTER_WP4_CSIC_2__P2598__bin_24_PROK	0	C2
MASTER_WP4_FFoQSI_2__VB08-27__bin_4_PROK	0	C2
MASTER_WP4_TEAGASC_1__TGS15-30__bin_24_PROK	0	C2
MASTER_WP4_CSIC_2__P2517__bin_2_PROK	0	C2
MASTER_WP4_CSIC_1__P2235_73323__bin_22_PROK	0	C2
MASTER_WP4_UNINA_1__MZ011_71775__bin_6_PROK	0	C2
MASTER_WP4_UNINA_2__V-23_1__bin_9_PROK	0	C2
MASTER_WP4_UNINA_1__PV005_71775__bin_9_PROK	0	C2
MASTER_WP4_FFoQSI_2__VB16-30__bin_16_PROK	0	C2
WalshL_xxxx__L8__bin_2_PROK	0	C2
MASTER_WP4_CSIC_1__P2179_73322__bin_2_PROK	0	C2
MortensenS_xxxx__WK007-1-L-48h-01H8_S50__bin_1_PROK	0	C2
MortensenS_xxxx__WK045-1-L-48h-03H4_S86__bin_7_PROK	0	C2
DeFilippisF_xxxx__DS_1__bin_22_PROK	0	C2
MASTER_WP4_FFoQSI_1__VB-09-M8__bin_70_PROK	0	C2
MASTER_WP4_UNINA_1__TA011_71775__bin_4_PROK	0	C2
AlvarezOrdonezA_xxxx__F03-19__bin_9_PROK	0	C2
AlvarezOrdonezA_xxxx__Q06-30__bin_1_EUK	0	C2
DeFilippisF_xxxx__DS_108__bin_8_PROK	0	C2
DeFilippisF_xxxx__DF_85__bin_4_PROK	0	C2
PasolliE_2020__SRS6525479__bin_12_PROK	0	C2
MASTER_WP4_FFoQSI_1__RC17-F-BR__bin_48_PROK	0	C2
XieM_2019__SAMC044639__bin_22_PROK	0	C2
AlvarezOrdonezA_xxxx__Q08-30__bin_24_PROK	0	C2
MASTER_WP4_CSIC_2__P2614__bin_47_PROK	0.23983213	C2
MASTER_WP4_CSIC_2__P2616__bin_5_PROK	0	C2
LeechJ_2020__ERS3967689__bin_4_PROK	0	C2
LandisEA_2021__SRS5653155__bin_3_PROK	0	C2
MASTER_WP4_CSIC_2__P2561__bin_10_PROK	0	C2
BertuzziAS_2018__ERS2032089__bin_4_PROK	0	C2
MASTER_WP4_FFoQSI_3__VB04-30__bin_5_PROK	0	C2
WalshL_xxxx__I4__bin_4_PROK	0	C2
DeFilippisF_xxxx__DF_34__bin_9_PROK	0	C2
MASTER_WP4_FFoQSI_1__VB-16-M13__bin_18_PROK	0	C2
MASTER_WP4_CSIC_2__P2619__bin_40_PROK	0	C2
MortensenS_xxxx__WK022-2-L-48h-02G1_S115__bin_12_PROK	0	C2
MASTER_WP4_FFoQSI_1__VB-15-M9__bin_13_PROK	0	C2
MASTER_WP4_CSIC_2__P2551__bin_10_PROK	0	C2
WalshL_xxxx__L12__bin_1_PROK	0	C2
MortensenS_xxxx__WK043-1-L-48h-03G5_S78__bin_8_EUK	0	C2
BertuzziAS_2018__ERS2032103__bin_3_PROK	0	C2
MASTER_WP4_FFoQSI_2__VB06-30__bin_34_PROK	0	C2
MortensenS_xxxx__WK027-1-L-48h-02I4_S14__bin_8_PROK	0	C2
WalshL_xxxx__T5__bin_4_PROK	0	C2
EBC_134_2_fa_PROK_MiFo_tagged	0	C2
MASTER_WP4_CSIC_2__P2558__bin_26_PROK	0	C2
MASTER_WP4_FFoQSI_2__VB10-30__bin_23_PROK	0	C2
MASTER_WP4_FFoQSI_1__VB14-F-AR__bin_1_PROK	0	C2
LeechJ_xxxx__AF84__bin_3_PROK	0	C2
MASTER_WP4_UNINA_1__GO001_73417__bin_8_EUK	0	C2
MASTER_WP4_FFoQSI_1__VB-15-M11__bin_22_PROK	0	C2
Imad_S-8_bin_4_fa_PROK_MiFo_tagged	0	C2
MASTER_WP4_CSIC_2__P2596__bin_13_EUK	0	C2
DeFilippisF_xxxx__DF_35__bin_5_PROK	0	C2
MASTER_WP4_FFoQSI_3__VB12-21__bin_1_PROK	0	C2
MASTER_WP4_TEAGASC_1__TGS12-29__bin_10_PROK	0	C2
ArikanM_2020__ERS1939656__bin_7_PROK	0	C2
MASTER_WP4_FFoQSI_2__VB10-30__bin_5_PROK	0	C2
MASTER_WP4_UNINA_1__FO007_71775__bin_32_PROK	0	C2
DeFilippisF_xxxx__DS_110__bin_8_PROK	0.29794243	C2
MortensenS_xxxx__WK054-1-L-08h-04E7_S14__bin_3_PROK	0	C2
LeechJ_xxxx__AF40__bin_3_PROK	0	C2
MASTER_WP4_UNINA_2__J-17__bin_10_PROK	0	C2
MASTER_WP4_CSIC_2__P2599__bin_20_PROK	0	C2
MASTER_WP4_FFoQSI_2__VB06-29__bin_19_PROK	0	C2
MASTER_WP4_UNINA_1__CS001_71775__bin_4_PROK	0	C2
MASTER_WP4_UNINA_1__PU007_71775__bin_26_PROK	0	C2
MASTER_WP4_FFoQSI_1__KM-2G__bin_21_PROK	0	C2
MASTER_WP4_FFoQSI_1__VB-14D__bin_6_PROK	0	C2
MASTER_WP4_FFoQSI_2__VB04-29__bin_16_PROK	0	C2
MortensenS_xxxx__WK026-2-L-48h-02I2_S12__bin_2_PROK	0	C2
MortensenS_xxxx__WK007-2-L-48h-01I1_S52__bin_8_PROK	0	C2
MASTER_WP4_FFoQSI_1__VB-09-AG__bin_33_PROK	0	C2
MASTER_WP4_CSIC_2__P2551__bin_1_EUK	0	C2
MortensenS_xxxx__WK014-1-L-08h-02B8_S77__bin_3_PROK	0	C2
MortensenS_xxxx__WK010-2-L-48h-02A4_S64__bin_3_PROK	0	C2
MortensenS_xxxx__WK011-2-L-48h-02A8_S68__bin_1_PROK	0	C2
BertuzziAS_2018__ERS2032101__bin_1_PROK	0	C2
MortensenS_xxxx__WK003-2-L-48h-01G3_S36__bin_9_EUK	0	C2
DeFilippisF_xxxx__DS_107__bin_6_PROK	0	C2
MortensenS_xxxx__WK028-2-G-48h-04A4_S104__bin_2_PROK	0	C2
MASTER_WP4_UNINA_1__PU007_71775__bin_37_PROK	0	C2
AlvarezOrdonezA_xxxx__Q08-30__bin_13_PROK	0	C2
MASTER_WP4_UNINA_2__T-29__bin_3_PROK	0	C2
MortensenS_xxxx__WK025-1-L-48h-02H5_S6__bin_13_PROK	0	C2
MASTER_WP4_FFoQSI_3__VB13-29__bin_50_PROK	0	C2
MASTER_WP4_CSIC_2__P2568__bin_3_PROK	0.19339882	C2
LeechJ_xxxx__AF18__bin_5_PROK	0	C2
LandisEA_2021__SRS5652990__bin_3_PROK	0	C2
MortensenS_xxxx__WK068-2-L-48h-05C7_S77__bin_2_PROK	0	C2
LeechJ_2020__ERS3967716__bin_10_PROK	0	C2
MortensenS_xxxx__WK019-2-L-48h-02E4_S100__bin_1_PROK	0	C2
MASTER_WP4_FFoQSI_1__RC17-F-BR__bin_3_PROK	0	C2
AlvarezOrdonezA_xxxx__Q03-26__bin_4_PROK	0	C2
LandisEA_2021__SRS5652903__bin_4_PROK	0.28630325	C2
MortensenS_xxxx__WK001T-2-L-16h-05F2_S99__bin_5_PROK	0.16650113	C2
MASTER_WP4_CSIC_1__P2137_73322__bin_33_PROK	0	C2
MortensenS_xxxx__WK017-2-L-08h-02D4_S91__bin_5_PROK	0	C2
MortensenS_xxxx__WK018T-2-L-00h-05D6_S85__bin_1_PROK	0	C2
MASTER_WP4_UNINA_2__V-28__bin_14_PROK	0	C2
MortensenS_xxxx__WK050-2-L-48h-04D1_S128__bin_5_PROK	0	C2
DeFilippisF_xxxx__DS_69__bin_8_PROK	0	C2
MASTER_WP4_FFoQSI_2__VB03-30__bin_9_PROK	0	C2
MASTER_WP4_TEAGASC_1__TGS13-30__bin_4_PROK	0	C2
MortensenS_xxxx__WK054-1-L-08h-04E7_S14__bin_7_PROK	0	C2
MortensenS_xxxx__WK054-2-L-08h-04E9_S16__bin_10_PROK	0	C2
WalshAM_2020__ERS3466737__bin_3_PROK	0	C2
DeFilippisF_xxxx__DF_121__bin_17_PROK	0	C2
MASTER_WP4_FFoQSI_3__VB15-29__bin_49_PROK	0	C2
MASTER_WP4_UNINA_2__O-26_1__bin_21_PROK	0	C2
BertuzziAS_2018__ERS2032114__bin_8_PROK	0	C2
DeFilippisF_xxxx__DS_66__bin_1_PROK	0	C2
MortensenS_xxxx__WK050-1-L-08h-04C7_S125__bin_11_PROK	0	C2
MortensenS_xxxx__WK054-2-L-08h-04E9_S16__bin_2_PROK	0	C2
DeFilippisF_xxxx__DF_75__bin_13_PROK	0	C2
MASTER_WP4_CSIC_2__P2512__bin_5_EUK	0	C2
MASTER_WP4_CSIC_2__P2613__bin_24_PROK	0	C2
MASTER_WP4_FFoQSI_1__VB-16-BD__bin_71_PROK	0	C2
MASTER_WP4_FFoQSI_2__VB05-29__bin_27_PROK	0	C2
MASTER_WP4_UNINA_2__M-22__bin_1_PROK	0	C2
LeechJ_xxxx__AF65__bin_7_PROK	0	C2
C-R06_bin_12_fa_PROK_MiFo_tagged	0	C2
DeFilippisF_xxxx__DS_55__bin_14_PROK	0	C2
MASTER_WP4_TEAGASC_1__TGS14-29__bin_2_EUK	0	C2
VerceM_2019__ERS1807709__bin_2_PROK	0	C2
LeechJ_xxxx__AF19__bin_7_PROK	0	C2
AlvarezOrdonezA_xxxx__Q01-22__bin_9_PROK	0	C2
MASTER_WP4_UNINA_1__AS202_73417__bin_5_PROK	0	C2
DeFilippisF_xxxx__DF_54__bin_11_PROK	0	C2
MASTER_WP4_FFoQSI_1__VB-03-AG__bin_42_PROK	0	C2
WalshL_xxxx__J6__bin_1_PROK	0	C2
MortensenS_xxxx__WK033-2-G-48h-04A9_S109__bin_2_PROK	0	C2
MASTER_WP4_CSIC_2__P2634__bin_5_EUK	0	C2
MASTER_WP4_FFoQSI_2__VB10-29__bin_43_PROK	0	C2
MASTER_WP4_UNINA_2__V-24__bin_16_PROK	0	C2
EBC_097_8_fa_PROK_MiFo_tagged	0	C2
MortensenS_xxxx__WK010-2-L-08h-02A3_S63__bin_1_PROK	0	C2
MASTER_WP4_TEAGASC_1__TGS13-23__bin_4_PROK	0	C2
MASTER_WP4_UNINA_2__H-30__bin_2_PROK	0	C2
MASTER_WP4_FFoQSI_3__VB13-29__bin_7_PROK	0	C2
MASTER_WP4_FFoQSI_1__DC18-F-BR__bin_8_PROK	0	C2
MortensenS_xxxx__WK024-2-L-48h-02G9_S123__bin_8_PROK	0	C2
MASTER_WP4_CSIC_2__P2610__bin_19_PROK	0	C2
MASTER_WP4_CSIC_1__P2223_73323__bin_8_PROK	0	C2
WolfeBE_2014__282_Bethlehem__bin_3_PROK	0	C2
MASTER_WP4_TEAGASC_1__TGS07-25__bin_1_PROK	0	C2
MortensenS_xxxx__WK004-1-L-08h-01G4_S37__bin_2_PROK	0	C2
YulandiA_2020__SRS6115053__bin_26_PROK	0	C2
MortensenS_xxxx__WK013-1-L-08h-02B4_S73__bin_4_PROK	0	C2
MortensenS_xxxx__WK063-2-L-08h-04I9_S52__bin_3_EUK	0	C2
MASTER_WP4_FFoQSI_3__VB09-26__bin_4_PROK	0	C2
WolfeBE_2014__932_Robiola_due_Latte__bin_6_PROK	0	C2
MASTER_WP4_CSIC_2__P2623__bin_31_PROK	0	C2
MASTER_WP4_FFoQSI_2__VB01-30__bin_13_PROK	0	C2
AlvarezOrdonezA_xxxx__Q03-30__bin_1_PROK	0	C2
FerrocinoI_2018__SRS1779555__bin_3_PROK	0	C2
AlvarezOrdonezA_xxxx__Q01-23__bin_3_PROK	0	C2
MASTER_WP4_UNINA_1__AS211_71775__bin_9_PROK	0	C2
MASTER_WP4_CSIC_2__P2635__bin_13_EUK	0	C2
MASTER_WP4_FFoQSI_1__KM-2D__bin_35_EUK	0	C2
MASTER_WP4_FFoQSI_1__VB-06-M1__bin_12_PROK	0	C2
MortensenS_xxxx__WK031-2-G-48h-04A7_S107__bin_4_EUK	0	C2
WalshAM_2020__ERS3466746__bin_1_PROK	0	C2
MortensenS_xxxx__WK018T-2-L-04h-05E5_S93__bin_1_PROK	0	C2
AlvarezOrdonezA_xxxx__Q08-21__bin_18_PROK	0	C2
SulaimanJ_2014__SRS398268__bin_2_EUK	0	C2
AlvarezOrdonezA_xxxx__F04-18__bin_3_PROK	0	C2
MASTER_WP4_UNINA_2__I-22__bin_6_PROK	0	C2
AlvarezOrdonezA_xxxx__Q04-27__bin_16_PROK	0	C2
MASTER_WP4_TEAGASC_1__TGS11-30__bin_11_PROK	0	C2
WolfeBE_2014__671_Grayson__bin_9_PROK	0	C2
MortensenS_xxxx__WK038-2-L-48h-03E5_S60__bin_6_EUK	0	C2
MASTER_WP4_CSIC_1__P2154_73322__bin_5_PROK	0	C2
MASTER_WP4_FFoQSI_1__RC17-F-BR__bin_42_PROK	0	C2
LeechJ_xxxx__AF54__bin_1_PROK	0	C2
MortensenS_xxxx__WK064-1-L-08h-05A2_S54__bin_7_PROK	0	C2
MASTER_WP4_FFoQSI_1__VB-14-BG__bin_28_PROK	0	C2
MASTER_WP4_UNINA_2__H-30__bin_3_PROK	0	C2
MASTER_WP4_CSIC_1__P2135_73322__bin_1_PROK	0	C2
MASTER_WP4_FFoQSI_2__VB15-23__bin_6_PROK	0	C2
MASTER_WP4_UNINA_2__V-29__bin_7_PROK	0	C2
WalshL_xxxx__D5__bin_6_PROK	0	C2
WalshAM_2020__ERS3466772__bin_3_PROK	0	C2
MASTER_WP4_CSIC_2__P2611__bin_16_PROK	0	C2
MortensenS_xxxx__WK025-2-L-08h-02H6_S7__bin_6_PROK	0	C2
DeFilippisF_xxxx__DS_91__bin_24_PROK	0	C2
DeFilippisF_xxxx__DF_61__bin_3_PROK	0	C2
PatroJN_2016__SRS1044731__bin_4_PROK	0	C2
WalshAM_2017__ERS1739833__bin_2_PROK	0	C2
WalshL_xxxx__E4__bin_8_PROK	0	C2
EscobarZepedaA_2016__SRS974112__bin_15_PROK	0	C2
MASTER_WP4_FFoQSI_1__KM-1D__bin_30_PROK	0	C2
DeFilippisF_xxxx__DS_56__bin_17_PROK	0	C2
MASTER_WP4_UNINA_2__O-27__bin_9_PROK	0	C2
MASTER_WP4_UNINA_2__V-25_1__bin_22_PROK	0	C2
MASTER_WP4_CSIC_1__P2134_73322__bin_7_PROK	0	C2
LeechJ_2020__ERS3967733__bin_9_PROK	0	C2
MASTER_WP4_TEAGASC_1__TGS08-29__bin_65_PROK	0	C2
AlvarezOrdonezA_xxxx__Q03-22__bin_2_PROK	0	C2
MASTER_WP4_CSIC_2__P2584__bin_6_PROK	0	C2
MASTER_WP4_FFoQSI_1__VB-03-BD__bin_11_PROK	0	C2
LeechJ_xxxx__AF41__bin_1_PROK	0	C2
LiZ_2018__SRS2920551__bin_1_PROK	0	C2
WalshAM_2020__ERS3466782__bin_2_PROK	0	C2
LeechJ_xxxx__AF17__bin_1_EUK	0	C2
DeFilippisF_xxxx__DF_79__bin_23_PROK	0	C2
WalshL_xxxx__P5__bin_10_PROK	0	C2
MortensenS_xxxx__WK035-1-L-48h-03C9_S46__bin_5_EUK	0	C2
DeFilippisF_xxxx__DS_83__bin_17_PROK	0	C2
MASTER_WP4_CSIC_2__P2621__bin_16_PROK	0	C2
LeechJ_xxxx__AF51__bin_13_PROK	0	C2
LeechJ_xxxx__AF53__bin_8_PROK	0	C2
MortensenS_xxxx__WK038-2-L-48h-03E5_S60__bin_8_PROK	0	C2
MASTER_WP4_UNINA_1__PU010_71775__bin_13_PROK	0	C2
MASTER_WP4_CSIC_2__P2549__bin_16_PROK	0	C2
MASTER_WP4_TEAGASC_1__TGS12-25__bin_6_PROK	0	C2
DeFilippisF_xxxx__DF_31__bin_8_PROK	0	C2
PfeferT_xxxx__SRS2870586__bin_1_PROK	0	C2
MASTER_WP4_FFoQSI_1__KM-1D__bin_13_PROK	0	C2
WalshL_xxxx__I5__bin_2_PROK	0	C2
WalshL_xxxx__R9__bin_6_PROK	0	C2
AlvarezOrdonezA_xxxx__Q02-25__bin_15_PROK	0	C2
MASTER_WP4_CSIC_2__P2588__bin_20_PROK	0	C2
MortensenS_xxxx__WK017-2-L-08h-02D4_S91__bin_3_PROK	0	C2
AlvarezOrdonezA_xxxx__Q06-27__bin_7_PROK	0.18123393	C2
MortensenS_xxxx__WK031-2-L-08h-03B3_S31__bin_1_PROK	0	C2
MASTER_WP4_UNINA_1__GO005_71775__bin_3_EUK	0	C2
MortensenS_xxxx__WK052-2-L-48h-04E2_S9__bin_4_EUK	0	C2
LiZ_2018__SRS2920550__bin_19_EUK	0	C2
MASTER_WP4_CSIC_2__P2507__bin_4_PROK	0	C2
MASTER_WP4_UNINA_1__MV011_71775__bin_4_PROK	0	C2
MASTER_WP4_FFoQSI_1__VB-09-AG__bin_52_PROK	0	C2
MortensenS_xxxx__WK056-1-L-48h-04F7_S23__bin_9_PROK	0	C2
MortensenS_xxxx__WK060-1-L-48h-04H5_S39__bin_4_PROK	0	C2
PorcellatoD_2016__1m-1_S9__bin_3_PROK	0	C2
MortensenS_xxxx__WK031-1-L-48h-03B2_S30__bin_2_PROK	0	C2
AlvarezOrdonezA_xxxx__Q04-28__bin_7_PROK	0	C2
MASTER_WP4_FFoQSI_1__VB-08-M4__bin_28_PROK	0	C2
AlvarezOrdonezA_xxxx__Q08-25__bin_7_PROK	0	C2
MASTER_WP4_FFoQSI_3__VB08-29__bin_12_PROK	0	C2
MASTER_WP4_CSIC_1__P2246_73323__bin_19_EUK	0	C2
MASTER_WP4_UNINA_2__O-22__bin_13_PROK	0	C2
MASTER_WP4_TEAGASC_1__TGS04-23__bin_31_PROK	0	C2
LeechJ_2020__ERS3967708__bin_3_PROK	0	C2
MASTER_WP4_FFoQSI_3__VB14-26__bin_5_PROK	0	C2
MASTER_WP4_FFoQSI_2__VB03-29__bin_18_PROK	0	C2
MASTER_WP4_CSIC_2__P2576__bin_13_PROK	0	C2
MASTER_WP4_CSIC_2__P2599__bin_42_PROK	0	C2
MortensenS_xxxx__WK034-1-L-48h-03C5_S42__bin_4_EUK	0	C2
DeFilippisF_xxxx__DF_42__bin_10_PROK	0	C2
LeechJ_2020__ERS3967741__bin_6_PROK	0	C2
MASTER_WP4_CSIC_2__P2628__bin_25_PROK	0	C2
WalshL_xxxx__J3__bin_1_PROK	0	C2
