Genome	orange_2.mags.sorted Relative Abundance (%)	orange_2.mags.sorted Trimmed Mean	orange_2.mags.sorted Covered Fraction
MASTER_WP4_TEAGASC_1__TGS08-29__bin_60_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS14-28__bin_1_PROK.fna	0	0	0
PasolliE_2020__SRS6525478__bin_8_PROK.fna	0	0	0
LeechJ_2020__ERS3967691__bin_10_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_2__VB16-30__bin_16_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-05-BD__bin_48_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS08-29__bin_48_PROK.fna	0	0	0
MASTER_WP4_CSIC_1__P2137_73322__bin_62_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__J-18__bin_3_PROK.fna	0	0	0
LeonardSR_2016__SRS1659769__bin_3_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS08-29__bin_45_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS04-28__bin_25_PROK.fna	0	0	0
XieM_2019__SAMC044639__bin_32_PROK.fna	0	0	0
DeFilippisF_xxxx__DF_11__bin_15_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q07-22__bin_21_PROK.fna	0	0	0
DeFilippisF_xxxx__DS_106__bin_5_PROK.fna	0	0	0
DeFilippisF_xxxx__DS_93__bin_1_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2621__bin_17_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_3__VB07-30__bin_45_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB12-F-BR__bin_6_PROK.fna	0	0	0
MASTER_WP4_TEAGASC_1__TGS13-22__bin_10_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q06-25__bin_5_PROK.fna	0	0	0
LiZ_2018__SRS2920551__bin_15_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__CF008_71775__bin_11_PROK.fna	0	0	0
LeechJ_xxxx__AF59__bin_3_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__PM013_71775__bin_4_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__F05-18__bin_3_EUK.fna	0	0	0
MASTER_WP4_UNINA_1__PB007_73417__bin_10_PROK.fna	0	0	0
MASTER_WP4_CSIC_2__P2634__bin_5_EUK.fna	0	0	0
LeechJ_xxxx__AF53__bin_1_PROK.fna	0	0	0
MASTER_WP4_UNINA_1__SS007_71775__bin_14_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q02-23__bin_9_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__M-29__bin_23_PROK.fna	0	0	0
MASTER_WP4_FFoQSI_1__VB-09-AG__bin_36_EUK.fna	0	0	0
ZhaoCC_2020__SRS5803192__bin_31_PROK.fna	0	0	0
ZhaoCC_2020__SRS5803192__bin_11_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__Q07-29__bin_22_PROK.fna	0	0	0
DeFilippisF_xxxx__DS_66__bin_21_PROK.fna	0	0	0
MASTER_WP4_UNINA_2__J-19__bin_1_PROK.fna	0	0	0
DeRoosJ_2020__B24M__bin_2_EUK.fna	0	0	0
DeFilippisF_xxxx__DS_1__bin_17_PROK.fna	0	0	0
SalvettiE_2016__SRS1050146__bin_19_PROK.fna	0	0	0
AlvarezOrdonezA_xxxx__R01-19__bin_3_PROK.fna	0	0	0
